id;umur_tahun;umur_bulan;min_satu_sd;median;plus_satu_sd
1;10;0;14.8;16.6;19
2;10;1;14.9;16.7;19.1
3;10;2;14.9;16.7;19.2
4;10;3;15;16.8;19.2
5;10;4;15;16.8;19.3
6;10;5;15;16.9;19.4
7;10;6;15.1;16.9;19.4
8;10;7;15.1;17;19.5
9;10;8;15.2;17;19.6
10;10;9;15.2;17.1;19.6
11;10;10;15.3;17.1;19.7
12;10;11;15.3;17.2;19.8
13;11;0;15.3;17.2;19.9
14;11;1;15.4;17.3;19.9
15;11;2;15.4;17.4;20
16;11;3;15.5;17.4;20.1
17;11;4;15.5;17.5;20.2
18;11;5;15.6;17.5;20.2
19;11;6;15.6;17.6;20.3
20;11;7;15.7;17.7;20.4
21;11;8;15.7;17.7;20.5
22;11;9;15.8;17.8;20.6
23;11;10;15.8;17.9;20.6
24;11;11;15.9;17.9;20.7
25;12;0;16;18;20.8
26;12;1;16;18.1;20.9
27;12;2;16.1;18.1;21
28;12;3;16.1;18.2;21.1
29;12;4;16.2;18.3;21.1
30;12;5;16.2;18.3;21.2
31;12;6;16.3;18.4;21.3
32;12;7;16.3;18.5;21.4
33;12;8;16.4;18.5;21.5
34;12;9;16.4;18.6;21.6
35;12;10;16.5;18.7;21.6
36;12;11;16.6;18.7;21.7
37;13;0;16.6;18.8;21.8
38;13;1;16.7;18.9;21.9
39;13;2;16.7;18.9;22
40;13;3;16.8;19;22
41;13;4;16.8;19.1;22.1
42;13;5;16.9;19.1;22.2
43;13;6;16.9;19.2;22.3
44;13;7;17;19.3;22.4
45;13;8;17;19.3;22.4
46;13;9;17.1;19.4;22.5
47;13;10;17.1;19.4;22.6
48;13;11;17.2;19.5;22.7
49;14;0;17.2;19.6;22.7
50;14;1;17.3;19.6;22.8
51;14;2;17.3;19.7;22.9
52;14;3;17.4;19.7;22.9
53;14;4;17.4;19.8;23
54;14;5;17.5;19.9;23.1
55;14;6;17.5;19.9;23.1
56;14;7;17.6;20;23.2
57;14;8;17.6;20;23.3
58;14;9;17.6;20.1;23.3
59;14;10;17.7;20.1;23.4
60;14;11;17.7;20.2;23.5
61;15;0;17.8;20.2;23.5
62;15;1;17.8;20.3;23.6
63;15;2;17.8;20.3;23.6
64;15;3;17.9;20.4;23.7
65;15;4;17.9;20.4;23.7
66;15;5;17.9;20.4;23.8
67;15;6;18;20.5;23.8
68;15;7;18;20.5;23.9
69;15;8;18;20.6;23.9
70;15;9;18.1;20.6;24
71;15;10;18.1;20.6;24
72;15;11;18.1;20.7;24.1
73;16;0;18.2;20.7;24.1
74;16;1;18.2;20.7;24.1
75;16;2;18.2;20.8;24.2
76;16;3;18.2;20.8;24.2
77;16;4;18.3;20.8;24.3
78;16;5;18.3;20.9;24.3
79;16;6;18.3;20.9;24.3
80;16;7;18.3;20.9;24.4
81;16;8;18.3;20.9;24.4
82;16;9;18.4;21;24.4
83;16;10;18.4;21;24.4
84;16;11;18.4;21;24.5
85;17;0;18.4;21;24.5
86;17;1;18.4;21.1;24.5
87;17;2;18.4;21.1;24.6
88;17;3;18.5;21.1;24.6
89;17;4;18.5;21.1;24.6
90;17;5;18.5;21.1;24.6
91;17;6;18.5;21.2;24.6
92;17;7;18.5;21.2;24.7
93;17;8;18.5;21.2;24.7
94;17;9;18.5;21.2;24.7
95;17;10;18.5;21.2;24.7
96;17;11;18.6;21.2;24.8
97;18;0;18.6;21.3;24.8
98;18;1;18.6;21.3;24.8
99;18;2;18.6;21.3;24.8
100;18;3;18.6;21.3;24.8
101;18;4;18.6;21.3;24.8
102;18;5;18.6;21.3;24.9
103;18;6;18.6;21.3;24.9
104;18;7;18.6;21.4;24.9
105;18;8;18.6;21.4;24.9
106;18;9;18.7;21.4;24.9
107;18;10;18.7;21.4;24.9
108;18;11;18.7;21.4;25
